,SEASON,TEAM_ID,TEAM_ABBR,IsHomeTeam,WINS,WINS_HOME,GAMES,PTS,PTS_opp,d_PTS_per_GAME,WIN_PCT_TOTAL,WIN_PCT_HOME_GMS,WIN_PCT_AWAY_GMS
208,2009,1610612766,CHA,41,44,31,82,7813,7693,1.4634146341463414,0.5365853658536586,0.7560975609756098,0.3170731707317073
209,2010,1610612737,ATL,41,44,24,82,7790,7857,-0.8170731707317073,0.5365853658536586,0.5853658536585366,0.4878048780487805
210,2010,1610612738,BOS,41,56,33,82,7913,7473,5.365853658536586,0.6829268292682927,0.8048780487804879,0.5609756097560976
211,2010,1610612739,CLE,41,19,12,82,7827,8566,-9.012195121951219,0.23170731707317074,0.2926829268292683,0.17073170731707318
212,2010,1610612740,NOP,41,46,28,82,7784,7711,0.8902439024390244,0.5609756097560976,0.6829268292682927,0.43902439024390244
213,2010,1610612741,CHI,41,62,36,82,8087,7487,7.317073170731708,0.7560975609756098,0.8780487804878049,0.6341463414634146
214,2010,1610612742,DAL,41,57,29,82,8220,7873,4.2317073170731705,0.6951219512195121,0.7073170731707317,0.6829268292682927
215,2010,1610612743,DEN,41,50,33,82,8811,8421,4.7560975609756095,0.6097560975609756,0.8048780487804879,0.4146341463414634
216,2010,1610612744,GSW,41,36,26,82,8477,8668,-2.3292682926829267,0.43902439024390244,0.6341463414634146,0.24390243902439024
217,2010,1610612745,HOU,41,43,25,82,8685,8506,2.182926829268293,0.524390243902439,0.6097560975609756,0.43902439024390244
218,2010,1610612746,LAC,41,32,23,82,8089,8346,-3.1341463414634148,0.3902439024390244,0.5609756097560976,0.21951219512195122
219,2010,1610612747,LAL,41,57,30,82,8321,7820,6.109756097560975,0.6951219512195121,0.7317073170731707,0.6585365853658537
220,2010,1610612748,MIA,41,58,30,82,8369,7757,7.463414634146342,0.7073170731707317,0.7317073170731707,0.6829268292682927
221,2010,1610612749,MIL,41,35,22,82,7534,7603,-0.8414634146341463,0.4268292682926829,0.5365853658536586,0.3170731707317073
222,2010,1610612750,MIN,41,17,12,82,8288,8832,-6.634146341463414,0.2073170731707317,0.2926829268292683,0.12195121951219512
223,2010,1610612751,BKN,41,24,19,82,7722,8234,-6.2439024390243905,0.2926829268292683,0.4634146341463415,0.12195121951219512
224,2010,1610612752,NYK,41,42,23,82,8734,8670,0.7804878048780488,0.5121951219512195,0.5609756097560976,0.4634146341463415
225,2010,1610612753,ORL,41,52,29,82,8135,7687,5.463414634146342,0.6341463414634146,0.7073170731707317,0.5609756097560976
226,2010,1610612754,IND,41,37,24,82,8183,8271,-1.0731707317073171,0.45121951219512196,0.5853658536585366,0.3170731707317073
227,2010,1610612755,PHI,41,41,26,82,8119,7996,1.5,0.5,0.6341463414634146,0.36585365853658536
228,2010,1610612756,PHX,41,40,23,82,8611,8684,-0.8902439024390244,0.4878048780487805,0.5609756097560976,0.4146341463414634
229,2010,1610612757,POR,41,48,30,82,7896,7771,1.524390243902439,0.5853658536585366,0.7317073170731707,0.43902439024390244
230,2010,1610612758,SAC,41,24,11,82,8151,8589,-5.341463414634147,0.2926829268292683,0.2682926829268293,0.3170731707317073
231,2010,1610612759,SAS,41,61,36,82,8502,8034,5.7073170731707314,0.7439024390243902,0.8780487804878049,0.6097560975609756
232,2010,1610612760,OKC,41,55,30,82,8596,8285,3.792682926829268,0.6707317073170732,0.7317073170731707,0.6097560975609756
233,2010,1610612761,TOR,41,22,16,82,8124,8639,-6.280487804878049,0.2682926829268293,0.3902439024390244,0.14634146341463414
234,2010,1610612762,UTA,41,39,21,82,8153,8303,-1.829268292682927,0.47560975609756095,0.5121951219512195,0.43902439024390244
235,2010,1610612763,MEM,41,46,30,82,8195,8003,2.341463414634146,0.5609756097560976,0.7317073170731707,0.3902439024390244
236,2010,1610612764,WAS,41,23,20,82,7977,8584,-7.402439024390244,0.2804878048780488,0.4878048780487805,0.07317073170731707
237,2010,1610612765,DET,41,30,21,82,7951,8246,-3.597560975609756,0.36585365853658536,0.5121951219512195,0.21951219512195122
238,2010,1610612766,CHA,41,34,21,82,7650,7978,-4.0,0.4146341463414634,0.5121951219512195,0.3170731707317073
239,2011,1610612737,ATL,33,40,23,66,6375,6148,3.4393939393939394,0.6060606060606061,0.696969696969697,0.5151515151515151
240,2011,1610612738,BOS,33,39,24,66,6062,5896,2.515151515151515,0.5909090909090909,0.7272727272727273,0.45454545454545453
241,2011,1610612739,CLE,33,21,11,66,6140,6615,-7.196969696969697,0.3181818181818182,0.3333333333333333,0.30303030303030304
242,2011,1610612740,NOP,33,21,11,66,5916,6164,-3.757575757575758,0.3181818181818182,0.3333333333333333,0.30303030303030304
243,2011,1610612741,CHI,33,50,26,66,6359,5819,8.181818181818182,0.7575757575757576,0.7878787878787878,0.7272727272727273
244,2011,1610612742,DAL,33,36,23,66,6322,6259,0.9545454545454546,0.5454545454545454,0.696969696969697,0.3939393939393939
245,2011,1610612743,DEN,33,38,20,66,6872,6682,2.878787878787879,0.5757575757575758,0.6060606060606061,0.5454545454545454
246,2011,1610612744,GSW,33,23,12,66,6453,6678,-3.409090909090909,0.3484848484848485,0.36363636363636365,0.3333333333333333
247,2011,1610612745,HOU,33,34,22,66,6474,6459,0.22727272727272727,0.5151515151515151,0.6666666666666666,0.36363636363636365
248,2011,1610612746,LAC,33,40,24,66,6438,6269,2.5606060606060606,0.6060606060606061,0.7272727272727273,0.48484848484848486
249,2011,1610612747,LAL,33,41,26,66,6422,6328,1.4242424242424243,0.6212121212121212,0.7878787878787878,0.45454545454545453
250,2011,1610612748,MIA,33,46,28,66,6500,6105,5.984848484848484,0.696969696969697,0.8484848484848485,0.5454545454545454
251,2011,1610612749,MIL,33,31,17,66,6535,6517,0.2727272727272727,0.4696969696969697,0.5151515151515151,0.42424242424242425
252,2011,1610612750,MIN,33,26,13,66,6464,6609,-2.196969696969697,0.3939393939393939,0.3939393939393939,0.3939393939393939
253,2011,1610612751,BKN,33,22,9,66,6144,6539,-5.984848484848484,0.3333333333333333,0.2727272727272727,0.3939393939393939
254,2011,1610612752,NYK,33,36,22,66,6458,6247,3.196969696969697,0.5454545454545454,0.6666666666666666,0.42424242424242425
255,2011,1610612753,ORL,33,37,21,66,6215,6163,0.7878787878787878,0.5606060606060606,0.6363636363636364,0.48484848484848486
256,2011,1610612754,IND,33,42,23,66,6449,6231,3.303030303030303,0.6363636363636364,0.696969696969697,0.5757575757575758
257,2011,1610612755,PHI,33,35,19,66,6180,5900,4.242424242424242,0.5303030303030303,0.5757575757575758,0.48484848484848486
258,2011,1610612756,PHX,33,33,19,66,6492,6508,-0.24242424242424243,0.5,0.5757575757575758,0.42424242424242425
259,2011,1610612757,POR,33,28,20,66,6415,6456,-0.6212121212121212,0.42424242424242425,0.6060606060606061,0.24242424242424243
260,2011,1610612758,SAC,33,22,16,66,6518,6893,-5.681818181818182,0.3333333333333333,0.48484848484848486,0.18181818181818182
261,2011,1610612759,SAS,33,50,28,66,6841,6368,7.166666666666667,0.7575757575757576,0.8484848484848485,0.6666666666666666
262,2011,1610612760,OKC,33,47,26,66,6802,6398,6.121212121212121,0.7121212121212122,0.7878787878787878,0.6363636363636364
263,2011,1610612761,TOR,33,23,13,66,5986,6204,-3.303030303030303,0.3484848484848485,0.3939393939393939,0.30303030303030304
264,2011,1610612762,UTA,33,36,25,66,6577,6536,0.6212121212121212,0.5454545454545454,0.7575757575757576,0.3333333333333333
265,2011,1610612763,MEM,33,41,26,66,6269,6136,2.015151515151515,0.6212121212121212,0.7878787878787878,0.45454545454545453
266,2011,1610612764,WAS,33,20,11,66,6180,6497,-4.803030303030303,0.30303030303030304,0.3333333333333333,0.2727272727272727
267,2011,1610612765,DET,33,25,18,66,5997,6313,-4.787878787878788,0.3787878787878788,0.5454545454545454,0.21212121212121213
268,2011,1610612766,CHA,33,7,4,66,5739,6657,-13.909090909090908,0.10606060606060606,0.12121212121212122,0.09090909090909091
269,2012,1610612737,ATL,41,44,25,82,8032,7999,0.4024390243902439,0.5365853658536586,0.6097560975609756,0.4634146341463415
270,2012,1610612738,BOS,40,41,27,81,7818,7836,-0.2222222222222222,0.5061728395061729,0.675,0.34146341463414637
271,2012,1610612739,CLE,41,24,14,82,7913,8297,-4.682926829268292,0.2926829268292683,0.34146341463414637,0.24390243902439024
272,2012,1610612740,NOP,41,27,16,82,7714,8031,-3.8658536585365852,0.32926829268292684,0.3902439024390244,0.2682926829268293
273,2012,1610612741,CHI,41,45,24,82,7641,7615,0.3170731707317073,0.5487804878048781,0.5853658536585366,0.5121951219512195
274,2012,1610612742,DAL,41,41,24,82,8293,8342,-0.5975609756097561,0.5,0.5853658536585366,0.4146341463414634
275,2012,1610612743,DEN,41,57,38,82,8704,8287,5.085365853658536,0.6951219512195121,0.926829268292683,0.4634146341463415
276,2012,1610612744,GSW,41,47,28,82,8296,8223,0.8902439024390244,0.573170731707317,0.6829268292682927,0.4634146341463415
